xrange,actual
0,0.0276
10,0.0390625
20,0.030627871362940276
30,0.03488372093023256
40,0.05161290322580645
50,0.06280193236714976
60,0.0707070707070707
70,0.10256410256410256
80,0.06451612903225806
90,0.14285714285714285
